feature,coefficient,absolute_coefficient
categorical__job_title_Innovation Manager,0.0,0.0
categorical__job_title_Integration Engineer,0.0,0.0
categorical__job_title_Integration Lead,-0.0,0.0
categorical__job_title_Junior AI/ML Engineer,0.0,0.0
categorical__job_title_Junior API Developer,-0.0,0.0
categorical__job_title_Junior Accountant,0.0,0.0
categorical__job_title_Junior Automation Test Engineer,-0.0,0.0
categorical__job_title_Junior BI Developer,0.0,0.0
categorical__job_title_Junior Backend Developer,-0.0,0.0
categorical__job_title_Junior Business Analyst,0.0,0.0
categorical__job_title_Junior Business Development Executive,-0.0,0.0
categorical__job_title_Junior Cyber Security Analyst,-0.0,0.0
categorical__job_title_Junior Data Analyst,0.0,0.0
categorical__job_title_Junior Database Administrator,-0.0,0.0
categorical__job_title_Junior DevOps Engineer,-0.0,0.0
categorical__job_title_Junior Dispatch Coordinator,-0.0,0.0
categorical__job_title_Junior Finance Executive,-0.0,0.0
categorical__job_title_Junior Frontend Developer,0.0,0.0
categorical__job_title_Junior Functional Consultant,-0.0,0.0
categorical__job_title_Junior GRC Analyst,-0.0,0.0
categorical__job_title_Junior HR Executive,-0.0,0.0
categorical__job_title_Junior IAM Analyst,0.0,0.0
categorical__job_title_Junior IT Support Engineer,-0.0,0.0
categorical__job_title_Junior Information Security Analyst,0.0,0.0
categorical__job_title_Junior Integration Developer,0.0,0.0
categorical__job_title_Junior Linux Administrator,-0.0,0.0
categorical__job_title_Junior Manual Test Engineer,0.0,0.0
categorical__job_title_Junior Mobile App Developer,-0.0,0.0
categorical__job_title_Junior Network Engineer,-0.0,0.0
categorical__job_title_Junior Operations Coordinator,-0.0,0.0
categorical__job_title_Junior PMO Analyst,0.0,0.0
categorical__job_title_Junior Payroll Executive,0.0,0.0
categorical__job_title_Junior Platform Engineer,0.0,0.0
categorical__job_title_Junior Procurement Executive,0.0,0.0
categorical__job_title_Junior Product Analyst,0.0,0.0
categorical__job_title_Junior QA Engineer,-0.0,0.0
categorical__job_title_Junior Reporting Analyst,-0.0,0.0
categorical__job_title_Junior SOC Analyst,0.0,0.0
categorical__job_title_Junior Sales Executive,0.0,0.0
categorical__job_title_Junior Service Desk Analyst,-0.0,0.0
categorical__job_title_Junior Supply Chain Analyst,-0.0,0.0
categorical__job_title_Junior System Administrator,-0.0,0.0
categorical__job_title_Junior Technical Consultant,-0.0,0.0
categorical__job_title_Junior Technical Support Engineer,-0.0,0.0
categorical__job_title_Junior Windows Administrator,-0.0,0.0
categorical__job_title_Key Account Manager,-0.0,0.0
categorical__job_title_Last Mile Operations Manager,0.0,0.0
categorical__job_title_Learning & Development Manager,0.0,0.0
categorical__job_title_Linux Administration Lead,0.0,0.0
categorical__job_title_Linux Administrator,0.0,0.0
categorical__job_title_Logistics Executive,-0.0,0.0
categorical__job_title_Logistics Lead,0.0,0.0
categorical__job_title_Logistics Manager,-0.0,0.0
categorical__job_title_MLOps Engineer,-0.0,0.0
categorical__job_title_MLOps Lead,-0.0,0.0
categorical__job_title_Management Trainee,-0.0,0.0
categorical__job_title_Manager,-0.0,0.0
categorical__job_title_Manual Test Engineer,-0.0,0.0
categorical__job_title_Manual Testing Lead,0.0,0.0
categorical__job_title_Marketing Executive,-0.0,0.0
categorical__job_title_Marketing Lead,0.0,0.0
categorical__job_title_Marketing Manager,0.0,0.0
categorical__job_title_Mobile App Lead,-0.0,0.0
categorical__job_title_Mobile Application Developer,0.0,0.0
categorical__job_title_Mobility Operations Manager,-0.0,0.0
categorical__job_title_Network Administration Manager,-0.0,0.0
categorical__job_title_Network Lead,-0.0,0.0
categorical__job_title_Network Security Engineer,0.0,0.0
categorical__job_title_Network Security Manager,-0.0,0.0
categorical__job_title_Operations Analyst,0.0,0.0
categorical__job_title_Operations Lead,-0.0,0.0
categorical__job_title_Operations Manager,0.0,0.0
categorical__job_title_PMO Analyst,-0.0,0.0
categorical__job_title_PMO Lead,0.0,0.0
categorical__job_title_Payroll Executive,0.0,0.0
categorical__job_title_Payroll Lead,0.0,0.0
categorical__job_title_Payroll Manager,-0.0,0.0
categorical__job_title_Performance Test Engineer,-0.0,0.0
categorical__job_title_Performance Testing Lead,-0.0,0.0
categorical__job_title_Platform Engineer,0.0,0.0
categorical__job_title_Platform Engineering Lead,-0.0,0.0
categorical__job_title_Platform Manager,-0.0,0.0
categorical__job_title_Port Operations Manager,0.0,0.0
categorical__job_title_President - Engineering,0.0,0.0
categorical__job_title_President - Enterprise Solutions,0.0,0.0
categorical__job_title_President - Finance,-0.0,0.0
categorical__job_title_President - Global Business,0.0,0.0
categorical__job_title_President - Human Resources,0.0,0.0
categorical__job_title_President - Innovation,-0.0,0.0
categorical__job_title_President - Marketing,-0.0,0.0
categorical__job_title_President - Product,-0.0,0.0
categorical__job_title_President - Sales,0.0,0.0
categorical__job_title_President - Strategy,-0.0,0.0
categorical__job_title_Procurement Executive,0.0,0.0
categorical__job_title_Procurement Manager,0.0,0.0
categorical__job_title_Product Analyst,0.0,0.0
categorical__job_title_Product Lead,-0.0,0.0
categorical__job_title_Product Manager,0.0,0.0
categorical__job_title_Program Manager,-0.0,0.0
categorical__job_title_Project Lead,-0.0,0.0
categorical__job_title_Project Manager,-0.0,0.0
categorical__job_title_QA Engineer,-0.0,0.0
categorical__job_title_Quality Assurance Manager,-0.0,0.0
categorical__job_title_RPA Lead,0.0,0.0
categorical__job_title_Regional Sales Lead,-0.0,0.0
categorical__job_title_Regional Sales Manager,-0.0,0.0
categorical__job_title_Release Management Lead,-0.0,0.0
categorical__job_title_Reporting Analyst,0.0,0.0
categorical__job_title_Reporting Manager,0.0,0.0
categorical__job_title_Risk Analyst,-0.0,0.0
categorical__job_title_Risk Management Lead,0.0,0.0
categorical__job_title_Risk Management Manager,0.0,0.0
categorical__job_title_SOC Analyst,0.0,0.0
categorical__job_title_SOC Lead,0.0,0.0
categorical__job_title_SOC Manager,0.0,0.0
categorical__job_title_Sales Executive,0.0,0.0
categorical__job_title_Sales Lead,0.0,0.0
categorical__job_title_Sales Manager,0.0,0.0
categorical__job_title_Security Lead,-0.0,0.0
categorical__job_title_Security Manager,0.0,0.0
categorical__job_title_Security Operations Manager,-0.0,0.0
categorical__job_title_Security Test Engineer,0.0,0.0
categorical__job_title_Security Testing Lead,0.0,0.0
categorical__job_title_Senior AI/ML Engineer,-0.0,0.0
categorical__job_title_Senior API Developer,0.0,0.0
categorical__job_title_Senior Accountant,0.0,0.0
categorical__job_title_Senior Application Security Engineer,-0.0,0.0
categorical__job_title_Senior Application Support Engineer,0.0,0.0
categorical__job_title_Senior BI Developer,-0.0,0.0
categorical__job_title_Senior Backend Engineer,-0.0,0.0
categorical__job_title_Senior Business Analyst,0.0,0.0
categorical__job_title_Senior Business Development Executive,0.0,0.0
categorical__job_title_Senior Cloud Engineer,-0.0,0.0
categorical__job_title_Senior Cloud Security Engineer,-0.0,0.0
categorical__job_title_Senior Compliance Analyst,0.0,0.0
categorical__pf_Yes,0.0,0.0
categorical__job_title_Senior Cyber Security Analyst,-0.0,0.0
categorical__job_title_Senior Data Analyst,0.0,0.0
categorical__job_title_Senior Data Engineer,0.0,0.0
categorical__job_title_Senior Database Administrator,0.0,0.0
categorical__job_title_Senior Delivery Analyst,0.0,0.0
categorical__job_title_Senior Digital Marketing Specialist,0.0,0.0
categorical__job_title_Senior Director - Customer Success,-0.0,0.0
categorical__job_title_Senior Director - Data & AI,-0.0,0.0
categorical__job_title_Senior Director - Delivery,-0.0,0.0
categorical__job_title_Senior Director - Enterprise Solutions,-0.0,0.0
categorical__job_title_Senior Director - Finance,0.0,0.0
categorical__job_title_Senior Director - Human Resources,0.0,0.0
categorical__job_title_Senior Director - Marketing,0.0,0.0
categorical__job_title_Senior Director - Operations,-0.0,0.0
categorical__job_title_Senior Director - Product,0.0,0.0
categorical__job_title_Senior Director - Sales,-0.0,0.0
categorical__job_title_Senior Dispatch Coordinator,-0.0,0.0
categorical__job_title_Senior Finance Executive,0.0,0.0
categorical__job_title_Senior Fleet Coordinator,0.0,0.0
categorical__job_title_Senior Freight Coordinator,0.0,0.0
categorical__job_title_Senior Frontend Engineer,-0.0,0.0
categorical__job_title_Senior Full Stack Engineer,0.0,0.0
categorical__job_title_Senior Functional Consultant,0.0,0.0
categorical__job_title_Senior GRC Analyst,0.0,0.0
categorical__job_title_Senior GenAI Engineer,-0.0,0.0
categorical__job_title_Senior HR Executive,-0.0,0.0
categorical__job_title_Senior IAM Analyst,-0.0,0.0
categorical__job_title_Senior IT Support Engineer,-0.0,0.0
categorical__job_title_Senior Integration Engineer,0.0,0.0
categorical__job_title_Senior Logistics Executive,0.0,0.0
categorical__job_title_Senior MLOps Engineer,0.0,0.0
categorical__job_title_Senior Manager - Customer Success,-0.0,0.0
categorical__job_title_Senior Manager - Data & AI,-0.0,0.0
categorical__job_title_Senior Manager - Delivery,0.0,0.0
categorical__job_title_Senior Manager - Engineering,0.0,0.0
categorical__job_title_Senior Manager - Enterprise Solutions,-0.0,0.0
categorical__job_title_Senior Manager - Finance,0.0,0.0
categorical__job_title_Senior Manager - Innovation,0.0,0.0
categorical__job_title_Senior Manager - Marketing,0.0,0.0
categorical__job_title_Senior Manager - Operations,-0.0,0.0
categorical__job_title_Senior Manager - Product,-0.0,0.0
categorical__job_title_Senior Manager - Strategy,0.0,0.0
categorical__job_title_Senior Manager - Technology,0.0,0.0
categorical__job_title_Senior Manager - Transport and Logistics,0.0,0.0
categorical__job_title_Senior Marketing Executive,0.0,0.0
categorical__job_title_Senior Mobile Application Developer,0.0,0.0
categorical__job_title_Senior Network Engineer,0.0,0.0
categorical__job_title_Senior Network Security Engineer,-0.0,0.0
categorical__job_title_Senior Operations Analyst,-0.0,0.0
categorical__job_title_Senior Operations Coordinator,0.0,0.0
categorical__job_title_Senior PMO Analyst,0.0,0.0
categorical__job_title_Senior Payroll Executive,-0.0,0.0
categorical__job_title_Senior Performance Test Engineer,-0.0,0.0
categorical__job_title_Senior Platform Engineer,-0.0,0.0
categorical__job_title_Senior Procurement Executive,0.0,0.0
categorical__job_title_Senior QA Engineer,-0.0,0.0
categorical__job_title_Senior RPA Developer,-0.0,0.0
categorical__job_title_Senior Reporting Analyst,0.0,0.0
categorical__job_title_Senior Risk Analyst,0.0,0.0
categorical__job_title_Senior SOC Analyst,0.0,0.0
categorical__job_title_Senior Sales Executive,0.0,0.0
categorical__job_title_Senior Security Test Engineer,0.0,0.0
categorical__job_title_Senior Service Desk Analyst,-0.0,0.0
categorical__job_title_Senior Shipping Executive,-0.0,0.0
categorical__job_title_Senior Site Reliability Engineer,-0.0,0.0
categorical__job_title_Senior Software Engineer,0.0,0.0
categorical__job_title_Senior Customer Success Specialist,-0.0,0.0
categorical__job_title_Senior Supply Chain Analyst,-0.0,0.0
categorical__job_title_Senior System Administrator,0.0,0.0
categorical__job_title_Senior Talent Acquisition Specialist,0.0,0.0
categorical__job_title_Senior Technical Consultant,0.0,0.0
categorical__job_title_Senior Technical Support Engineer,0.0,0.0
categorical__job_title_Senior Transport Executive,0.0,0.0
categorical__job_title_Senior Vice President - Customer Success,0.0,0.0
categorical__job_title_Senior Vice President - Data & AI,-0.0,0.0
categorical__job_title_Senior Vice President - Delivery,0.0,0.0
categorical__job_title_Senior Vice President - Engineering,0.0,0.0
categorical__job_title_Senior Vice President - Enterprise Solutions,-0.0,0.0
categorical__job_title_Senior Vice President - Finance,-0.0,0.0
categorical__job_title_Senior Vice President - Human Resources,-0.0,0.0
categorical__job_title_Senior Vice President - Innovation,0.0,0.0
categorical__job_title_Senior Vice President - Sales,-0.0,0.0
categorical__job_title_Senior Vice President - Strategy,-0.0,0.0
categorical__job_title_Senior Vice President - Technology,0.0,0.0
categorical__job_title_Senior Warehouse Executive,-0.0,0.0
categorical__job_title_Server Administration Manager,-0.0,0.0
categorical__job_title_Service Delivery Manager,-0.0,0.0
categorical__job_title_Service Desk Manager,-0.0,0.0
categorical__job_title_Shipping Operations Lead,0.0,0.0
categorical__job_title_Site Reliability Engineer,-0.0,0.0
categorical__job_title_Site Reliability Engineering Lead,-0.0,0.0
categorical__job_title_Software Development Lead,0.0,0.0
categorical__job_title_Software Engineer,-0.0,0.0
categorical__job_title_Solution Lead,0.0,0.0
categorical__job_title_Supply Chain Analyst,-0.0,0.0
categorical__job_title_Supply Chain Lead,0.0,0.0
categorical__job_title_Support Operations Manager,-0.0,0.0
categorical__job_title_System Administration Lead,0.0,0.0
categorical__job_title_System Administration Manager,-0.0,0.0
categorical__job_title_System Administrator,-0.0,0.0
categorical__job_title_Talent Acquisition Lead,0.0,0.0
categorical__job_title_Talent Acquisition Manager,0.0,0.0
numeric__total_shortfall_hours,-0.0,0.0
categorical__job_title_Technical Consultant,-0.0,0.0
categorical__job_title_Technical Lead,0.0,0.0
categorical__job_title_Technical Manager,0.0,0.0
categorical__job_title_Technical Support Engineer,0.0,0.0
categorical__job_title_Technical Support Lead,0.0,0.0
categorical__job_title_Territory Manager,0.0,0.0
categorical__job_title_Trainee,-0.0,0.0
categorical__job_title_Transport Manager,0.0,0.0
categorical__job_title_Transport Operations Lead,0.0,0.0
categorical__job_title_Transportation Compliance Manager,-0.0,0.0
categorical__job_title_Travel & Transport Manager,0.0,0.0
categorical__job_title_Vehicle Maintenance Manager,-0.0,0.0
categorical__job_title_Vice President - Customer Success,0.0,0.0
categorical__job_title_Vice President - Delivery,0.0,0.0
categorical__job_title_Vice President - Enterprise Solutions,-0.0,0.0
categorical__marital_status_Married,-0.0,0.0
categorical__job_title_Vice President - Human Resources,-0.0,0.0
categorical__job_title_Vice President - Innovation,0.0,0.0
categorical__job_title_Vice President - Marketing,0.0,0.0
categorical__job_title_Vice President - Operations,0.0,0.0
categorical__job_title_Vice President - Sales,0.0,0.0
categorical__job_title_Vice President - Strategy,0.0,0.0
categorical__job_title_Vice President - Technology,-0.0,0.0
categorical__job_title_Warehouse Operations Lead,0.0,0.0
categorical__job_title_Warehouse Operations Manager,-0.0,0.0
categorical__job_title_Workplace Technology Manager,-0.0,0.0
categorical__employment_type_Permanent,0.0,0.0
categorical__employee_status_Active,0.0,0.0
categorical__bonus_eligible_No,0.0,0.0
categorical__bonus_eligible_Yes,-0.0,0.0
categorical__job_title_Senior Solution Engineer,0.0,0.0
